datetime,symbol,open,high,low,close,volume
2025-01-01 23:00:00,CME_MINI:NQ1!,21269.0,21320.5,21253.5,21298.75,3576.0
2025-01-01 23:30:00,CME_MINI:NQ1!,21299.0,21306.0,21243.75,21268.0,2885.0
2025-01-02 00:00:00,CME_MINI:NQ1!,21266.5,21268.0,21121.75,21144.5,7248.0
2025-01-02 00:30:00,CME_MINI:NQ1!,21144.75,21248.5,21133.0,21230.75,4855.0
2025-01-02 01:00:00,CME_MINI:NQ1!,21232.0,21299.0,21232.0,21282.25,4811.0
2025-01-02 01:30:00,CME_MINI:NQ1!,21282.25,21313.5,21263.5,21295.0,3965.0
2025-01-02 02:00:00,CME_MINI:NQ1!,21294.25,21325.5,21287.75,21320.75,2734.0
2025-01-02 02:30:00,CME_MINI:NQ1!,21320.5,21333.0,21308.5,21322.25,2704.0
2025-01-02 03:00:00,CME_MINI:NQ1!,21321.75,21339.75,21308.0,21330.5,2665.0
2025-01-02 03:30:00,CME_MINI:NQ1!,21330.75,21334.0,21294.5,21306.5,2610.0
2025-01-02 04:00:00,CME_MINI:NQ1!,21306.5,21317.75,21287.0,21304.5,2282.0
2025-01-02 04:30:00,CME_MINI:NQ1!,21305.0,21335.5,21303.0,21324.0,2467.0
2025-01-02 05:00:00,CME_MINI:NQ1!,21324.75,21355.0,21320.75,21350.25,2814.0
2025-01-02 05:30:00,CME_MINI:NQ1!,21350.0,21376.5,21340.5,21370.5,3044.0
2025-01-02 06:00:00,CME_MINI:NQ1!,21371.0,21382.5,21356.0,21364.25,2264.0
2025-01-02 06:30:00,CME_MINI:NQ1!,21364.25,21396.75,21361.25,21389.5,2515.0
2025-01-02 07:00:00,CME_MINI:NQ1!,21389.25,21398.75,21372.0,21381.25,2825.0
2025-01-02 07:30:00,CME_MINI:NQ1!,21381.5,21381.5,21346.0,21357.75,3371.0
2025-01-02 08:00:00,CME_MINI:NQ1!,21357.25,21424.5,21343.0,21347.25,9028.0
2025-01-02 08:30:00,CME_MINI:NQ1!,21348.0,21383.75,21318.0,21375.5,7944.0
2025-01-02 09:00:00,CME_MINI:NQ1!,21374.5,21405.5,21350.25,21394.0,6425.0
2025-01-02 09:30:00,CME_MINI:NQ1!,21394.5,21403.5,21361.25,21402.5,4060.0
2025-01-02 10:00:00,CME_MINI:NQ1!,21402.75,21411.0,21359.5,21385.75,3702.0
2025-01-02 10:30:00,CME_MINI:NQ1!,21384.25,21404.0,21365.75,21397.75,3010.0
2025-01-02 11:00:00,CME_MINI:NQ1!,21398.0,21408.0,21370.5,21400.75,3229.0
2025-01-02 11:30:00,CME_MINI:NQ1!,21401.0,21470.0,21386.0,21467.75,6002.0
2025-01-02 12:00:00,CME_MINI:NQ1!,21467.0,21490.5,21455.5,21483.25,6917.0
2025-01-02 12:30:00,CME_MINI:NQ1!,21483.75,21486.5,21413.75,21444.25,6808.0
2025-01-02 13:00:00,CME_MINI:NQ1!,21443.75,21452.75,21408.75,21418.25,5512.0
2025-01-02 13:30:00,CME_MINI:NQ1!,21419.0,21466.5,21404.25,21417.5,9365.0
2025-01-02 14:00:00,CME_MINI:NQ1!,21417.75,21420.0,21335.0,21347.75,17622.0
2025-01-02 14:30:00,CME_MINI:NQ1!,21347.75,21409.0,21166.5,21391.25,80097.0
2025-01-02 15:00:00,CME_MINI:NQ1!,21392.5,21444.0,21255.0,21288.0,52658.0
2025-01-02 15:30:00,CME_MINI:NQ1!,21288.25,21330.5,21209.75,21277.25,45019.0
2025-01-02 16:00:00,CME_MINI:NQ1!,21278.25,21301.5,21186.25,21293.75,35275.0
2025-01-02 16:30:00,CME_MINI:NQ1!,21293.0,21357.5,21269.0,21316.25,27474.0
2025-01-02 17:00:00,CME_MINI:NQ1!,21316.25,21342.5,21143.5,21151.5,33190.0
2025-01-02 17:30:00,CME_MINI:NQ1!,21151.75,21152.0,20983.75,21075.75,54005.0
2025-01-02 18:00:00,CME_MINI:NQ1!,21076.5,21090.25,20995.25,21063.75,28988.0
2025-01-02 18:30:00,CME_MINI:NQ1!,21062.75,21067.0,20987.75,21047.5,32512.0
2025-01-02 19:00:00,CME_MINI:NQ1!,21047.75,21123.75,21028.0,21111.25,26855.0
2025-01-02 19:30:00,CME_MINI:NQ1!,21112.5,21145.5,21058.0,21064.0,25662.0
2025-01-02 20:00:00,CME_MINI:NQ1!,21063.25,21179.25,21062.0,21155.5,21978.0
2025-01-02 20:30:00,CME_MINI:NQ1!,21156.0,21195.75,21120.25,21169.0,34860.0
2025-01-02 21:00:00,CME_MINI:NQ1!,21169.5,21203.5,21168.75,21200.75,9095.0
2025-01-02 21:30:00,CME_MINI:NQ1!,21201.75,21203.0,21178.5,21182.5,1885.0
2025-01-02 23:00:00,CME_MINI:NQ1!,21186.75,21188.75,21148.75,21160.0,2478.0
2025-01-02 23:30:00,CME_MINI:NQ1!,21160.75,21168.25,21144.0,21163.5,1741.0
2025-01-03 00:00:00,CME_MINI:NQ1!,21162.75,21226.0,21153.25,21218.25,3834.0
2025-01-03 00:30:00,CME_MINI:NQ1!,21218.75,21240.75,21216.75,21239.0,2248.0
2025-01-03 01:00:00,CME_MINI:NQ1!,21239.25,21249.0,21216.0,21225.0,2035.0
2025-01-03 01:30:00,CME_MINI:NQ1!,21224.0,21234.75,21206.0,21224.0,2025.0
2025-01-03 02:00:00,CME_MINI:NQ1!,21224.5,21250.0,21222.25,21243.75,2303.0
2025-01-03 02:30:00,CME_MINI:NQ1!,21244.0,21245.0,21221.25,21242.5,2211.0
2025-01-03 03:00:00,CME_MINI:NQ1!,21243.0,21260.0,21242.5,21251.25,2417.0
2025-01-03 03:30:00,CME_MINI:NQ1!,21251.25,21256.5,21244.0,21248.0,800.0
2025-01-03 04:00:00,CME_MINI:NQ1!,21249.0,21255.25,21236.5,21243.75,954.0
2025-01-03 04:30:00,CME_MINI:NQ1!,21245.0,21245.75,21223.0,21223.75,1068.0
2025-01-03 05:00:00,CME_MINI:NQ1!,21225.0,21227.25,21207.5,21223.25,1553.0
2025-01-03 05:30:00,CME_MINI:NQ1!,21222.75,21231.75,21217.0,21225.75,1059.0
2025-01-03 06:00:00,CME_MINI:NQ1!,21225.5,21243.5,21219.0,21241.25,1123.0
2025-01-03 06:30:00,CME_MINI:NQ1!,21240.75,21256.75,21236.25,21237.25,1502.0
2025-01-03 07:00:00,CME_MINI:NQ1!,21237.25,21245.75,21210.5,21234.0,3061.0
2025-01-03 07:30:00,CME_MINI:NQ1!,21233.75,21254.0,21229.5,21246.0,1535.0
2025-01-03 08:00:00,CME_MINI:NQ1!,21245.75,21275.5,21226.75,21228.25,5679.0
2025-01-03 08:30:00,CME_MINI:NQ1!,21228.75,21239.5,21213.0,21236.75,3723.0
2025-01-03 09:00:00,CME_MINI:NQ1!,21237.25,21288.0,21228.25,21274.5,4793.0
2025-01-03 09:30:00,CME_MINI:NQ1!,21274.5,21283.0,21261.25,21271.25,2375.0
2025-01-03 10:00:00,CME_MINI:NQ1!,21270.25,21272.75,21241.5,21254.0,2353.0
2025-01-03 10:30:00,CME_MINI:NQ1!,21254.0,21256.75,21227.0,21237.0,2148.0
2025-01-03 11:00:00,CME_MINI:NQ1!,21237.75,21252.5,21219.25,21246.75,2391.0
2025-01-03 11:30:00,CME_MINI:NQ1!,21246.25,21251.75,21234.25,21246.75,1734.0
2025-01-03 12:00:00,CME_MINI:NQ1!,21246.5,21246.5,21208.5,21235.0,3318.0
2025-01-03 12:30:00,CME_MINI:NQ1!,21234.5,21244.5,21221.0,21242.25,2621.0
2025-01-03 13:00:00,CME_MINI:NQ1!,21241.75,21268.0,21238.25,21258.75,4276.0
2025-01-03 13:30:00,CME_MINI:NQ1!,21259.0,21273.5,21227.0,21227.75,5485.0
2025-01-03 14:00:00,CME_MINI:NQ1!,21228.25,21303.0,21228.0,21293.25,9697.0
2025-01-03 14:30:00,CME_MINI:NQ1!,21293.75,21434.5,21277.75,21382.25,66380.0
2025-01-03 15:00:00,CME_MINI:NQ1!,21382.75,21440.75,21261.5,21334.0,56983.0
2025-01-03 15:30:00,CME_MINI:NQ1!,21334.0,21398.5,21298.0,21377.5,33279.0
2025-01-03 16:00:00,CME_MINI:NQ1!,21376.5,21427.25,21337.25,21426.25,27686.0
2025-01-03 16:30:00,CME_MINI:NQ1!,21426.25,21492.25,21420.75,21464.0,37597.0
2025-01-03 17:00:00,CME_MINI:NQ1!,21464.75,21487.0,21441.75,21449.75,18770.0
2025-01-03 17:30:00,CME_MINI:NQ1!,21450.25,21475.0,21441.5,21471.0,15161.0
2025-01-03 18:00:00,CME_MINI:NQ1!,21470.5,21504.5,21449.75,21503.5,14757.0
2025-01-03 18:30:00,CME_MINI:NQ1!,21503.25,21531.25,21493.5,21509.25,19963.0
2025-01-03 19:00:00,CME_MINI:NQ1!,21509.5,21545.75,21496.75,21537.75,16053.0
